IMDB ID,Title,Actors,Writer,Genre,Plot
tt2188671,Bates Motel,"Vera Farmiga, Freddie Highmore, Max Thieriot, Olivia Cooke","Anthony Cipriano, Carlton Cuse, Kerry Ehrin","Drama, Horror, Mystery, Thriller","A contemporary prequel to Psycho, giving a portrayal of how Norman Bates' psyche unravels through his teenage years, and how deeply intricate his relationship with his mother, Norma, truly is."
tt3032476,Better Call Saul,"Bob Odenkirk, Jonathan Banks, Rhea Seehorn, Patrick Fabian","Vince Gilligan, Peter Gould","Crime, Drama","The trials and tribulations of criminal lawyer, Jimmy McGill, in the time leading up to establishing his strip-mall law office in Albuquerque, New Mexico."
tt3920596,Big Little Lies,"Cameron Crovetti, Nicholas Crovetti, Reese Witherspoon, Nicole Kidman",David E. Kelley,"Crime, Drama, Mystery",The apparently perfect lives of three mothers of first graders unravel to the point of murder.
tt4270492,Billions,"Toby Leonard Moore, Paul Giamatti, Damian Lewis, Maggie Siff","Brian Koppelman, David Levien, Andrew Ross Sorkin",Drama,"U.S. Attorney Chuck Rhoades goes after hedge fund king Bobby ""Axe"" Axelrod in a battle between two powerful New York figures."
tt6045840,Black Lightning,"Cress Williams, China Anne McClain, Nafessa Williams, Christine Adams",Salim Akil,"Action, Drama, Sci-Fi",A crusading school principal gets back into action as the original African-American electrical superhero.
tt2085059,Black Mirror,"Daniel Lapaine, Hannah John-Kamen, Michaela Coel, Beatrice Robertson-Jones",Charlie Brooker,"Drama, Sci-Fi, Thriller","An anthology series exploring a twisted, high-tech world where humanity's greatest innovations and darkest instincts collide."
tt4474344,Blindspot,"Sullivan Stapleton, Jaimie Alexander, Audrey Esparza, Ashley Johnson",Martin Gero,"Action, Crime, Drama, Mystery, Thriller",Jane Doe is found in Times Square with no memory and mysterious tattoos on her body.
tt3520702,Bloodline,"Kyle Chandler, Linda Cardellini, Norbert Leo Butz, Jacinda Barrett","Glenn Kessler, Todd A. Kessler, Daniel Zelman","Drama, Thriller",A family finds themselves forced to face their past secrets and scars when the black sheep returns home.
tt1595859,Blue Bloods,"Donnie Wahlberg, Bridget Moynahan, Will Estes, Len Cariou","Mitchell Burgess, Robin Green","Crime, Drama",Revolves around a family of New York cops.
tt7493974,Bodyguard,"Richard Madden, Sophie Rundle, Vincent Franklin, Ash Tandon",Jed Mercurio,"Crime, Drama, Thriller",A contemporary thriller featuring the Royalty and Specialist Protection Branch of London's Metropolitan Police Service.
tt0460627,Bones,"Emily Deschanel, David Boreanaz, Michaela Conlin, T.J. Thyne",Hart Hanson,"Comedy, Crime, Drama, Mystery, Romance","Forensic anthropologist Dr. Temperance ""Bones"" Brennan and cocky F.B.I. Special Agent Seeley Booth build a team to investigate murders. Quite often, there isn't more to examine than rotten flesh or mere bones."
tt3502248,Bosch,"Titus Welliver, Jamie Hector, Amy Aquino, Lance Reddick","Michael Connelly, Eric Ellis Overmyer","Crime, Drama",An L.A.P.D. homicide detective works to solve the murder of a thirteen-year-old boy while standing trial in federal court for the murder of a serial killer.
tt0903747,Breaking Bad,"Bryan Cranston, Anna Gunn, Aaron Paul, Dean Norris",Vince Gilligan,"Crime, Drama, Thriller",A high school chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine in order to secure his family's future.
tt2467372,Brooklyn Nine-Nine,"Andy Samberg, Stephanie Beatriz, Terry Crews, Melissa Fumero","Daniel J. Goor, Michael Schur","Comedy, Crime","Jake Peralta, an immature, but talented N.Y.P.D. detective in Brooklyn's 99th Precinct, comes into immediate conflict with his new commanding officer, the serious and stern Captain Ray Holt."
tt0904208,Californication,"David Duchovny, Natascha McElhone, Evan Handler, Pamela Adlon",Tom Kapinos,"Comedy, Drama","A writer tries to juggle his career, his relationship with his daughter and his ex-girlfriend, as well as his appetite for beautiful women."
tt1983079,Call the Midwife,"Vanessa Redgrave, Laura Main, Jenny Agutter, Judy Parfitt",Heidi Thomas,"Drama, History",Chronicles the lives of a group of midwives living in East London in the late-1950s to mid-1960s.
tt1219024,Castle,"Nathan Fillion, Stana Katic, Susan Sullivan, Jon Huertas",Andrew W. Marlowe,"Comedy, Crime, Drama, Mystery, Romance","After a serial killer imitates the plots of his novels, successful mystery novelist Richard ""Rick"" Castle receives permission from the Mayor of New York City to tag along with an NYPD homicide investigation team for research purposes."
tt0158552,Charmed,"Holly Marie Combs, Alyssa Milano, Brian Krause, Rose McGowan",Constance M. Burge,"Drama, Fantasy, Mystery","Three sisters discover their destiny, to battle against the forces of evil, using their witchcraft. They are the Charmed Ones."
tt2261391,Chicago Fire,"Jesse Spencer, Taylor Kinney, Eamonn Walker, Yuri Sardarov","Derek Haas, Michael Brandt","Action, Drama","The story of firefighters in Chicago, both on a personal and professional level."
tt4655480,Chicago Med,"Nick Gehlfuss, Yaya DaCosta, Marlyne Barrett, Torrey DeVitto","Michael Brandt, Derek Haas, Matt Olmstead, Dick Wolf",Drama,An emotional thrill ride through the day-to-day chaos of the city's most explosive hospital and the courageous team of doctors who hold it together. They will tackle unique new cases ...
tt2805096,Chicago P.D.,"Jason Beghe, Jesse Lee Soffer, Patrick John Flueger, Marina Squerciati","Michael Brandt, Derek Haas, Matt Olmstead, Dick Wolf","Action, Crime, Drama, Thriller","Follows District 21 of the Chicago Police Department, which is made up of two distinctly different groups: the uniformed cops and the Intelligence Unit."
tt7569592,Chilling Adventures of Sabrina,"Kiernan Shipka, Ross Lynch, Lucy Davis, Chance Perdomo",Roberto Aguirre-Sacasa,"Drama, Fantasy, Horror, Mystery, Thriller","As her 16th birthday nears, Sabrina must choose between the witch world of her family and the human world of her friends. Based on the Archie comic."
tt0168596,Cold Feet,"James Nesbitt, John Thomson, Robert Bathurst, Hermione Norris",Mike Bullen,"Comedy, Drama, Romance","The show follows the lives of 30-something couples Adam and Rachel, Pete and Jenny, David and Karen as they navigate love and life in Manchester."
tt4209256,Colony,"Josh Holloway, Sarah Wayne Callies, Peter Jacobson, Tory Kittles","Ryan J. Condal, Carlton Cuse","Action, Adventure, Drama, Sci-Fi","In the wake of a mysterious alien invasion, a family fights to stay together in a new world order."
tt2314952,Comedians in Cars Getting Coffee,Jerry Seinfeld,Jerry Seinfeld,"Comedy, Talk-Show","Jerry Seinfeld is joined by friends for a cup of coffee and a drive in a classic car, sharing stories all along the way."
tt0497480,Comedy Central Presents,"Mike Birbiglia, Todd Barry, Lewis Black, Stephen Lynch",  ,"Documentary, Comedy",A television series featuring various stand-up comics.
tt2174367,Comic Book Men,"Kevin Smith, Walter Flanagan, Ming Chen, Bryan Johnson",  ,"Comedy, Reality-TV",An unscripted series set in Smith's iconic comic shop Jay and Silent Bob's Secret Stash and captures the world of the neighborhood comic book store and fanboy culture.
tt1439629,Community,"Joel McHale, Gillian Jacobs, Danny Pudi, Alison Brie",Dan Harmon,Comedy,A suspended lawyer is forced to enroll in a community college with an eclectic staff and student body.
tt0360486,Constantine,"Keanu Reeves, Rachel Weisz, Shia LaBeouf, Djimon Hounsou","Jamie Delano, Garth Ennis, Kevin Brodbin, Kevin Brodbin, Frank A. Cappello ","Action, Fantasy, Horror, Mystery","Supernatural detective John Constantine helps a policewoman prove her sister's death was not a suicide, but something more."
tt4421578,Containment,"David Gyasi, Christina Marie Moses, Chris Wood, Claudia Black",Julie Plec,Drama,"The series follows an epidemic that breaks out in Atlanta, leaving the large city quarantined and those stuck on the inside fighting for their lives."
